electricity_price_cny_mwh,h2_price_cny_kg,h2_marginal_value_cny_mwh,value_difference_cny_mwh,preferred_route
200,18,255.416593271094,55.4165932710939,制氢优先
275,18,255.416593271094,-19.5834067289061,外送优先
350,18,255.416593271094,-94.5834067289061,外送优先
425,18,255.416593271094,-169.583406728906,外送优先
500,18,255.416593271094,-244.583406728906,外送优先
575,18,255.416593271094,-319.583406728906,外送优先
650,18,255.416593271094,-394.583406728906,外送优先
200,22,325.876343138982,125.876343138982,制氢优先
275,22,325.876343138982,50.8763431389818,制氢优先
350,22,325.876343138982,-24.1236568610182,外送优先
425,22,325.876343138982,-99.1236568610182,外送优先
500,22,325.876343138982,-174.123656861018,外送优先
575,22,325.876343138982,-249.123656861018,外送优先
650,22,325.876343138982,-324.123656861018,外送优先
200,26,396.33609300687,196.33609300687,制氢优先
275,26,396.33609300687,121.33609300687,制氢优先
350,26,396.33609300687,46.3360930068698,制氢优先
425,26,396.33609300687,-28.6639069931302,外送优先
500,26,396.33609300687,-103.66390699313,外送优先
575,26,396.33609300687,-178.66390699313,外送优先
650,26,396.33609300687,-253.66390699313,外送优先
200,30,466.795842874758,266.795842874758,制氢优先
275,30,466.795842874758,191.795842874758,制氢优先
350,30,466.795842874758,116.795842874758,制氢优先
425,30,466.795842874758,41.7958428747577,制氢优先
500,30,466.795842874758,-33.2041571252423,外送优先
575,30,466.795842874758,-108.204157125242,外送优先
650,30,466.795842874758,-183.204157125242,外送优先
200,34,537.255592742646,337.255592742646,制氢优先
275,34,537.255592742646,262.255592742646,制氢优先
350,34,537.255592742646,187.255592742646,制氢优先
425,34,537.255592742646,112.255592742646,制氢优先
500,34,537.255592742646,37.2555927426457,制氢优先
575,34,537.255592742646,-37.7444072573543,外送优先
650,34,537.255592742646,-112.744407257354,外送优先
200,38,607.715342610534,407.715342610534,制氢优先
275,38,607.715342610534,332.715342610534,制氢优先
350,38,607.715342610534,257.715342610534,制氢优先
425,38,607.715342610534,182.715342610534,制氢优先
500,38,607.715342610534,107.715342610534,制氢优先
575,38,607.715342610534,32.7153426105336,制氢优先
650,38,607.715342610534,-42.2846573894664,外送优先
200,42,678.175092478422,478.175092478422,制氢优先
275,42,678.175092478422,403.175092478422,制氢优先
350,42,678.175092478422,328.175092478422,制氢优先
425,42,678.175092478422,253.175092478422,制氢优先
500,42,678.175092478422,178.175092478422,制氢优先
575,42,678.175092478422,103.175092478422,制氢优先
650,42,678.175092478422,28.1750924784217,制氢优先
